Stock_Name,Yahoo_Symbol
Infosys Ltd.,INFY.NS
Inox Wind Ltd.,INOXWIND.NS
Intellect Design Arena Ltd.,INTELLECT.NS
InterGlobe Aviation Ltd.,INDIGO.NS
International Gemological Institute Ltd.,IGIL.NS
Inventurus Knowledge Solutions Ltd.,IKS.NS
Ipca Laboratories Ltd.,IPCALAB.NS
J.K. Cement Ltd.,JKCEMENT.NS
JBM Auto Ltd.,JBMA.NS
JK Tyre & Industries Ltd.,JKTYRE.NS
JM Financial Ltd.,JMFINANCIL.NS
JSW Cement Ltd.,JSWCEMENT.NS
JSW Dulux Ltd.,JSWDULUX.NS
JSW Energy Ltd.,JSWENERGY.NS
JSW Infrastructure Ltd.,JSWINFRA.NS
JSW Steel Ltd.,JSWSTEEL.NS
Jain Resource Recycling Ltd.,JAINREC.NS
Jaiprakash Power Ventures Ltd.,JPPOWER.NS
Jammu & Kashmir Bank Ltd.,J&KBANK.NS
Jindal Saw Ltd.,JINDALSAW.NS
Jindal Stainless Ltd.,JSL.NS
Jindal Steel Ltd.,JINDALSTEL.NS
Jio Financial Services Ltd.,JIOFIN.NS
Jubilant Foodworks Ltd.,JUBLFOOD.NS
Jubilant Ingrevia Ltd.,JUBLINGREA.NS
Jubilant Pharmova Ltd.,JUBLPHARMA.NS
Jupiter Wagons Ltd.,JWL.NS
Jyoti CNC Automation Ltd.,JYOTICNC.NS
K.P.R. Mill Ltd.,KPRMILL.NS
KEI Industries Ltd.,KEI.NS
KPIT Technologies Ltd.,KPITTECH.NS
Kajaria Ceramics Ltd.,KAJARIACER.NS
Kalpataru Projects International Ltd.,KPIL.NS
Kalyan Jewellers India Ltd.,KALYANKJIL.NS
Karur Vysya Bank Ltd.,KARURVYSYA.NS
Kaynes Technology India Ltd.,KAYNES.NS
Kec International Ltd.,KEC.NS
Kfin Technologies Ltd.,KFINTECH.NS
Kirloskar Oil Eng Ltd.,KIRLOSENG.NS
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
Krishna Institute of Medical Sciences Ltd.,KIMS.NS
L&T Finance Ltd.,LTF.NS
L&T Technology Services Ltd.,LTTS.NS
LG Electronics India Ltd.,LGEINDIA.NS
LIC Housing Finance Ltd.,LICHSGFIN.NS
LT Foods Ltd.,LTFOODS.NS
LTM Ltd.,LTM.NS
Larsen & Toubro Ltd.,LT.NS
Latent View Analytics Ltd.,LATENTVIEW.NS
Laurus Labs Ltd.,LAURUSLABS.NS
Leela Palaces Hotels & Resorts Ltd.,THELEELA.NS
Lemon Tree Hotels Ltd.,LEMONTREE.NS
Lenskart Solutions Ltd.,LENSKART.NS
Life Insurance Corporation of India,LICI.NS
Linde India Ltd.,LINDEINDIA.NS
Lloyds Metals And Energy Ltd.,LLOYDSME.NS
Lodha Developers Ltd.,LODHA.NS
Lupin Ltd.,LUPIN.NS
MMTC Ltd.,MMTC.NS
MRF Ltd.,MRF.NS
Mahanagar Gas Ltd.,MGL.NS
Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS
Mahindra & Mahindra Ltd.,M&M.NS
Manappuram Finance Ltd.,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS
Mankind Pharma Ltd.,MANKIND.NS
Marico Ltd.,MARICO.NS
Maruti Suzuki India Ltd.,MARUTI.NS
Max Financial Services Ltd.,MFSL.NS
Max Healthcare Institute Ltd.,MAXHEALTH.NS
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS
Meesho Ltd.,MEESHO.NS
Minda Corporation Ltd.,MINDACORP.NS
Motherson Sumi Wiring India Ltd.,MSUMI.NS
Motilal Oswal Financial Services Ltd.,MOTILALOFS.NS
MphasiS Ltd.,MPHASIS.NS
Multi Commodity Exchange of India Ltd.,MCX.NS
Muthoot Finance Ltd.,MUTHOOTFIN.NS
NATCO Pharma Ltd.,NATCOPHARM.NS
NBCC (India) Ltd.,NBCC.NS
NCC Ltd.,NCC.NS
NHPC Ltd.,NHPC.NS
NLC India Ltd.,NLCINDIA.NS
NMDC Ltd.,NMDC.NS
NMDC Steel Ltd.,NSLNISP.NS
NTPC Green Energy Ltd.,NTPCGREEN.NS
NTPC Ltd.,NTPC.NS
Narayana Hrudayalaya Ltd.,NH.NS
National Aluminium Co. Ltd.,NATIONALUM.NS
Nava Ltd.,NAVA.NS
Navin Fluorine International Ltd.,NAVINFLUOR.NS
Nestle India Ltd.,NESTLEIND.NS
Netweb Technologies India Ltd.,NETWEB.NS
Neuland Laboratories Ltd.,NEULANDLAB.NS
Newgen Software Technologies Ltd.,NEWGEN.NS
Nippon Life India Asset Management Ltd.,NAM-INDIA.NS
Niva Bupa Health Insurance Company Ltd.,NIVABUPA.NS
Nuvama Wealth Management Ltd.,NUVAMA.NS
Nuvoco Vistas Corporation Ltd.,NUVOCO.NS
Oberoi Realty Ltd.,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,ONGC.NS
Oil India Ltd.,OIL.NS
Ola Electric Mobility Ltd.,OLAELEC.NS
Olectra Greentech Ltd.,OLECTRA.NS
One 97 Communications Ltd.,PAYTM.NS
Onesource Specialty Pharma Ltd.,ONESOURCE.NS
Oracle Financial Services Software Ltd.,OFSS.NS
PB Fintech Ltd.,POLICYBZR.NS
PCBL Chemical Ltd.,PCBL.NS
PG Electroplast Ltd.,PGEL.NS
PI Industries Ltd.,PIIND.NS
PNB Housing Finance Ltd.,PNBHOUSING.NS
PTC Industries Ltd.,PTCIL.NS
